# CodeWalker Collision Material Colours File
# Material Name					ABGR (hex)

DEFAULT							FFCCCCCC
CONCRETE						FFDDDDDD
CONCRETE_POTHOLE				FFDDDDDD
CONCRETE_DUSTY					FFDDDDDD
TARMAC							FF333333
TARMAC_PAINTED					FF333355
TARMAC_POTHOLE					FF303030
RUMBLE_STRIP					FF444444
BREEZE_BLOCK					FF555555
ROCK							FF228899
ROCK_MOSSY						FF22CC88
STONE							FFAAAAAA
COBBLESTONE						FFAAAAAA
BRICK							FF332299
MARBLE							FF666699
PAVING_SLAB						FFCCCCCC
SANDSTONE_SOLID					FF48EFEF
SANDSTONE_BRITTLE				FF47ECEC
SAND_LOOSE						FF46F0F0
SAND_COMPACT					FF44EEEE
SAND_WET						FF22CCCC
SAND_TRACK						FF40E0E0
SAND_UNDERWATER					FF30D0D0
SAND_DRY_DEEP					FF46F0F0
SAND_WET_DEEP					FF22CCCC
ICE								FFEEDDCC
ICE_TARMAC						FFBBAFAF
SNOW_LOOSE						FFFFFCFC
SNOW_COMPACT					FFFFF0F0
SNOW_DEEP						FFFFFAFA
SNOW_TARMAC						FFFAF0F0
GRAVEL_SMALL					FF99CCDD
GRAVEL_LARGE					FF9BDFDF
GRAVEL_DEEP						FF95D9D9
GRAVEL_TRAIN_TRACK				FF9A9A9A
DIRT_TRACK						FF36479C
MUD_HARD						FF334499
MUD_POTHOLE						FF27388D
MUD_SOFT						FF223388
MUD_UNDERWATER					FF1F3085
MUD_DEEP						FF1D2883
MARSH							FF20DD80
MARSH_DEEP						FF1CD97C
SOIL							FF112266
CLAY_HARD						FF334477
CLAY_SOFT						FF304174
GRASS_LONG						FF0FA81F
GRASS							FF11AA11
GRASS_SHORT						FF22AA22
HAY								FF40F5F5
BUSHES							FF009900
TWIGS							FF00CC44
LEAVES							FF22CC22
WOODCHIPS						FF33AACC
TREE_BARK						FF1199BB
METAL_SOLID_SMALL				FFDDDDDD
METAL_SOLID_MEDIUM				FFDDDDDD
